Institution,Subinstitution,InstitutionType,År,Afbrudte,Fuldførte,Latitude,Longitude
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Silkeborg",2024,,91.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Silkeborg (e-læring)",2015,68.0,,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Silkeborg (e-læring)",2016,79.0,,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Silkeborg (e-læring)",2017,76.0,,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Silkeborg (e-læring)",2018,79.0,,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Silkeborg (e-læring)",2019,94.0,,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Silkeborg (e-læring)",2020,104.0,,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Silkeborg (e-læring)",2021,100.0,,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Silkeborg (e-læring)",2022,48.0,,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Silkeborg (e-læring)",2023,47.0,72.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Silkeborg (e-læring)",2024,,66.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Skive",2015,,47.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Skive",2016,,56.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Skive",2017,,50.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Skive",2018,,67.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Skive",2019,,57.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Skive",2020,,44.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Skive",2021,,33.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Skive",2022,33.0,43.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Skive",2023,53.0,37.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Skive",2024,,42.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Skive (Kongsvingervej)",2015,,20.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Skive (Kongsvingervej)",2016,,,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Skive (Kongsvingervej)",2017,,,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Skive (Kongsvingervej)",2018,,,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Skive (Kongsvingervej)",2019,,,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Skive (Kongsvingervej)",2020,,,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Skive (Kongsvingervej)",2021,,,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Skive (Kongsvingervej)",2022,,,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Skive (Kongsvingervej)",2023,,,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Skive (Kongsvingervej)",2024,,,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Viborg",2015,32.0,109.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Viborg",2016,38.0,107.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Viborg",2017,23.0,118.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Viborg",2018,32.0,76.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Viborg",2019,24.0,97.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Viborg",2020,21.0,77.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Viborg",2021,22.0,78.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Viborg",2022,15.0,73.0,,
